window	res	stage	pair_norm	pair_raw	pair_sumsize	arm_norm	arm_raw	pair_n	arm_n
4Mb	5000	diplotene	0.444170920680988	0.356611645202249	0.356530205044107	0.505760062722088	0.51956903855638	148	78
4Mb	10000	leptotene	0.437996275963678	0.432088162673014	0.431462554185469	0.506468215328975	0.562083486134119	148	78
4Mb	10000	zygotene	0.348878532004131	0.534380703124711	0.532744496311131	0.483478546769686	0.673794559870509	148	78
4Mb	10000	pachytene	0.365118439902716	0.383479493738362	0.382231978588642	0.280491660238496	0.522654560629244	148	78
4Mb	10000	diplotene	0.364122648878162	0.306355663977908	0.306355663977908	0.165088076480481	0.47536008295502	148	78
4Mb	20000	leptotene	0.387732891088596	0.325934618360314	0.325349729951839	0.363143185927996	0.481859912239659	148	78
4Mb	20000	zygotene	0.419128072052329	0.474089073322055	0.473985422211693	0.500297171183247	0.602321728904007	148	78
4Mb	20000	pachytene	0.348493542165642	0.386507586891096	0.38627437189278	0.168198889717877	0.523893827691296	148	78
4Mb	20000	diplotene	0.259335078127024	0.254393141257954	0.254374632131104	0.00620898089252519	0.499310815766512	148	78
4Mb	50000	leptotene	0.29244790606248	0.302853737177802	0.302061546548603	0.0852438700539966	0.509831940211687	148	78
4Mb	50000	zygotene	0.506402306977571	0.407870821101885	0.407619096976719	0.509047914111205	0.53787984167731	148	78
4Mb	50000	pachytene	0.286106679203515	0.370952516685978	0.370708196211552	0.0591939705863756	0.473083878147169	148	78
4Mb	50000	diplotene	0.29742315935988	0.304641718831556	0.304223412564736	-0.0385310891640005	0.632140011886847	148	78
4Mb	1e+05	leptotene	0.247232188882218	0.240028430045256	0.240154292224319	-0.0270236093020903	0.51033776350232	148	78
4Mb	1e+05	zygotene	0.45289612307829	0.404687251283608	0.404457738110662	0.288711288711289	0.519695494379039	148	78
4Mb	1e+05	pachytene	0.262777775721208	0.320167174433713	0.319589689675979	-0.0625071131400245	0.511652904057967	148	78
4Mb	1e+05	diplotene	0.188330365703328	0.321647904581749	0.321385074980473	-0.141112052504458	0.598199269085345	148	78
