pattern_key	n_exact_terms	min_holm_p_global	max_term_phr_burden_a_T	nonzero_arm_counts	representative_terms	pattern_id
2,0,0,1,0,3,0,33,0,2,0,0,2,0,0,0,1,1,0,32,4,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,2,3,0,0,0,0,1,2,0,0	2	7.2175910329896e-11	97	1p:2; 2q:1; 3q:3; 4q:33; 5q:2; 7p:2; 9p:1; 9q:1; 10q:32; 11p:4; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:2; 20q:3; Xp:1; Xq:2	GO_BP:ancestor:regulation of gene expression (GO:0010468) | GO_BP:ancestor:regulation of macromolecule biosynthetic process (GO:0010556)	P014
2,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0	2	1.34313858964466e-09	25	1p:2; 3q:3; 5q:2; 6q:2; 9p:1; 9q:1; 11p:3; 12p:1; 15q:3; 16p:1; 19p:3; 20p:1; 20q:1; Xq:1	GO_MF:ancestor:ubiquitin-like protein ligase binding (GO:0044389) | GO_MF:direct:ubiquitin protein ligase binding (GO:0031625)	P059
2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0	2	1.91802860559371e-09	20	1p:2; 2q:2; 3q:2; 5q:2; 7p:2; 9q:2; 10p:1; 11p:2; 16q:2; 19p:2; 20q:1	GO_BP:ancestor:germ cell development (GO:0007281) | GO_BP:ancestor:cellular process involved in reproduction in multicellular organism (GO:0022412)	P007
0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0	2	4.07971498364372e-07	11	1q:1; 2q:1; 4q:1; 5q:1; 9q:1; 10q:1; 16q:1; 17q:1; 19q:1; 20p:1; 21q:1	GO_MF:direct:rRNA binding (GO:0019843) | GO_MF:direct:TORC2 complex binding (GO:1904841)	P064
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0	2	2.31864059542988e-05	12	3q:1; 9p:1; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:1; 21p:2; Xq:1	GO_BP:direct:endosomal transport (GO:0016197) | GO_CC:direct:recycling endosome membrane (GO:0055038)	P038
0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	1	7.12663278014756e-51	66	4q:33; 10q:32; Xp:1	GO_MF:direct:sequence-specific double-stranded DNA binding (GO:1990837)	P065
1,0,0,1,0,2,0,33,0,1,0,0,1,0,0,0,1,0,0,32,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0	1	9.57851413435921e-48	84	1p:1; 2q:1; 3q:2; 4q:33; 5q:1; 7p:1; 9p:1; 10q:32; 11p:2; 12p:1; 15q:1; 16p:1; 16q:1; 19p:2; 20p:1; 20q:2; Xq:1	GO_MF:ancestor:sequence-specific DNA binding (GO:0043565)	P058
2,0,0,1,0,3,0,33,0,2,0,0,2,0,0,0,1,1,0,32,3,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,1,2,0,0,0,0,0,2,0,0	1	2.63036399175134e-38	93	1p:2; 2q:1; 3q:3; 4q:33; 5q:2; 7p:2; 9p:1; 9q:1; 10q:32; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:1; 20q:2; Xq:2	GO_BP:ancestor:regulation of DNA-templated transcription (GO:0006355)	P003
0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,1,0,0,32,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0	1	9.31945352392338e-37	76	3q:1; 4q:33; 9p:1; 10q:32; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:1; Xp:1; Xq:1	GO_MF:direct:DNA binding (GO:0003677)	P061
0,1,0,1,0,1,0,34,0,1,0,0,0,0,0,0,1,1,0,33,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,2,1,0,1,0,0,1,1,0,0	1	2.90976636613962e-36	87	1q:1; 2q:1; 3q:1; 4q:34; 5q:1; 9p:1; 9q:1; 10q:33; 11p:1; 12p:1; 15q:1; 16p:1; 16q:1; 17q:1; 19p:1; 19q:1; 20p:2; 20q:1; 21q:1; Xp:1; Xq:1	GO_CC:direct:nucleolus (GO:0005730)	P050
