task_index	comparison_id	source_paf	output_paf	cell_id	scaffold_jump	min_aln_length	scoring	num_mappings	scaffold_mass	overlap	command
36	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.ldefault.log_length_ani.4tomany.m10k.paf.gz	j20k.ldefault.log_length_ani.4tomany.m10k	20k	default	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 20k --scaffold-mass 10k --scoring log-length-ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
37	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l1000.ani.1to1.m10k.paf.gz	j20k.l1000.ani.1to1.m10k	20k	1000	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 20k --scaffold-mass 10k --scoring ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
38	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l1000.ani.4tomany.m10k.paf.gz	j20k.l1000.ani.4tomany.m10k	20k	1000	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 20k --scaffold-mass 10k --scoring ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
39	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l1000.log_length_ani.1to1.m10k.paf.gz	j20k.l1000.log_length_ani.1to1.m10k	20k	1000	log-length-ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 20k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
40	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l1000.log_length_ani.4tomany.m10k.paf.gz	j20k.l1000.log_length_ani.4tomany.m10k	20k	1000	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 20k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
41	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l5000.ani.1to1.m10k.paf.gz	j20k.l5000.ani.1to1.m10k	20k	5000	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 20k --scaffold-mass 10k --scoring ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
42	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l5000.ani.4tomany.m10k.paf.gz	j20k.l5000.ani.4tomany.m10k	20k	5000	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 20k --scaffold-mass 10k --scoring ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
43	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l5000.log_length_ani.1to1.m10k.paf.gz	j20k.l5000.log_length_ani.1to1.m10k	20k	5000	log-length-ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 20k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
44	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l5000.log_length_ani.4tomany.m10k.paf.gz	j20k.l5000.log_length_ani.4tomany.m10k	20k	5000	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 20k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
45	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l10000.ani.1to1.m10k.paf.gz	j20k.l10000.ani.1to1.m10k	20k	10000	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 20k --scaffold-mass 10k --scoring ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
46	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l10000.ani.4tomany.m10k.paf.gz	j20k.l10000.ani.4tomany.m10k	20k	10000	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 20k --scaffold-mass 10k --scoring ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
47	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l10000.log_length_ani.1to1.m10k.paf.gz	j20k.l10000.log_length_ani.1to1.m10k	20k	10000	log-length-ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 20k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
48	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j20k.l10000.log_length_ani.4tomany.m10k.paf.gz	j20k.l10000.log_length_ani.4tomany.m10k	20k	10000	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 20k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
49	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.ldefault.ani.1to1.m10k.paf.gz	j50k.ldefault.ani.1to1.m10k	50k	default	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 50k --scaffold-mass 10k --scoring ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
50	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.ldefault.ani.4tomany.m10k.paf.gz	j50k.ldefault.ani.4tomany.m10k	50k	default	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 50k --scaffold-mass 10k --scoring ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
51	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.ldefault.log_length_ani.1to1.m10k.paf.gz	j50k.ldefault.log_length_ani.1to1.m10k	50k	default	log-length-ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 50k --scaffold-mass 10k --scoring log-length-ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
52	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.ldefault.log_length_ani.4tomany.m10k.paf.gz	j50k.ldefault.log_length_ani.4tomany.m10k	50k	default	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 50k --scaffold-mass 10k --scoring log-length-ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
53	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l1000.ani.1to1.m10k.paf.gz	j50k.l1000.ani.1to1.m10k	50k	1000	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 50k --scaffold-mass 10k --scoring ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
54	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l1000.ani.4tomany.m10k.paf.gz	j50k.l1000.ani.4tomany.m10k	50k	1000	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 50k --scaffold-mass 10k --scoring ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
55	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l1000.log_length_ani.1to1.m10k.paf.gz	j50k.l1000.log_length_ani.1to1.m10k	50k	1000	log-length-ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 50k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
56	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l1000.log_length_ani.4tomany.m10k.paf.gz	j50k.l1000.log_length_ani.4tomany.m10k	50k	1000	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 50k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
57	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l5000.ani.1to1.m10k.paf.gz	j50k.l5000.ani.1to1.m10k	50k	5000	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 50k --scaffold-mass 10k --scoring ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
58	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l5000.ani.4tomany.m10k.paf.gz	j50k.l5000.ani.4tomany.m10k	50k	5000	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 50k --scaffold-mass 10k --scoring ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
59	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l5000.log_length_ani.1to1.m10k.paf.gz	j50k.l5000.log_length_ani.1to1.m10k	50k	5000	log-length-ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 50k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
60	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l5000.log_length_ani.4tomany.m10k.paf.gz	j50k.l5000.log_length_ani.4tomany.m10k	50k	5000	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 50k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
61	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l10000.ani.1to1.m10k.paf.gz	j50k.l10000.ani.1to1.m10k	50k	10000	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 50k --scaffold-mass 10k --scoring ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
62	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l10000.ani.4tomany.m10k.paf.gz	j50k.l10000.ani.4tomany.m10k	50k	10000	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 50k --scaffold-mass 10k --scoring ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
63	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l10000.log_length_ani.1to1.m10k.paf.gz	j50k.l10000.log_length_ani.1to1.m10k	50k	10000	log-length-ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 50k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
64	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j50k.l10000.log_length_ani.4tomany.m10k.paf.gz	j50k.l10000.log_length_ani.4tomany.m10k	50k	10000	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 50k --scaffold-mass 10k --scoring log-length-ani --min-aln-length 10000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
65	PAN028mat_vs_PAN027_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN028mat_vs_PAN027_joint.j0.ldefault.ani.1to1.m10k.paf.gz	j0.ldefault.ani.1to1.m10k	0	default	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
66	PAN028mat_vs_PAN027_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN028mat_vs_PAN027_joint.j0.ldefault.ani.4tomany.m10k.paf.gz	j0.ldefault.ani.4tomany.m10k	0	default	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
67	PAN028mat_vs_PAN027_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN028mat_vs_PAN027_joint.j0.ldefault.log_length_ani.1to1.m10k.paf.gz	j0.ldefault.log_length_ani.1to1.m10k	0	default	log-length-ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
68	PAN028mat_vs_PAN027_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN028mat_vs_PAN027_joint.j0.ldefault.log_length_ani.4tomany.m10k.paf.gz	j0.ldefault.log_length_ani.4tomany.m10k	0	default	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
69	PAN028mat_vs_PAN027_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN028mat_vs_PAN027_joint.j0.l1000.ani.1to1.m10k.paf.gz	j0.l1000.ani.1to1.m10k	0	1000	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
70	PAN028mat_vs_PAN027_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN028mat_vs_PAN027_joint.j0.l1000.ani.4tomany.m10k.paf.gz	j0.l1000.ani.4tomany.m10k	0	1000	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
