sample	resolution_bp	within_mean	between_mean	bw_ratio	mw_U	mw_p	n_within	n_between	mantel_rho	mantel_p	n_arms	mw_q_BH	mantel_p_floored	mantel_q_BH
hg02148	20000	0.0476270981109793	0.00257209698865678	0.0540049066744178	197037	6.00847048574785e-05	182	1898	0.156794750917142	0.0795	37	7.06878880676218e-05	0.0795	0.0836842105263158
hg02148	50000	0.0471198417247719	0.00234285317126974	0.0497211596115794	196370	9.11929403646377e-05	182	1898	0.152474712095792	0.0846	37	0.000104220503273872	0.0846	0.0867692307692308
hg02148	1e+05	0.0282266457418184	0.0010626184084845	0.0376459327900305	197299.5	3.93472622096683e-05	182	1898	0.125500108053426	0.1267	37	4.76936511632342e-05	0.1267	0.1267
hg02559	5000	0.0633516688690278	0.00492671658387379	0.0777677474299722	228407	0.00504896851758633	201	2077	0.437557255756287	1e-04	37	0.00560996501954036	1e-04	0.000181818181818182
hg02559	10000	0.0662095427282069	0.00535481633028106	0.080876805814274	227889	0.00631819415932029	201	2077	0.436653629650148	1e-04	37	0.00683048017223815	1e-04	0.000181818181818182
hg02559	20000	0.0492841553558155	0.00424949260855847	0.0862243164740984	226766	0.00965929794647221	201	2077	0.391799381445806	4e-04	37	0.00990697225279201	4e-04	0.000666666666666667
hg02559	50000	0.0351143998037366	0.00258713756425289	0.0736773967008712	226839.5	0.00935302515072323	201	2077	0.39714561639168	4e-04	37	0.00984528963234024	4e-04	0.000666666666666667
hg02559	1e+05	0.0203462192911212	0.00109690892455745	0.0539121744862015	223998.5	0.0222115115229798	201	2077	0.354878157600629	0.0012	37	0.0222115115229798	0.0012	0.00192
na19036	5000	0.0621846809209211	0.00394421819748545	0.0634274895211125	215358.5	1.10352150505024e-08	193	1823	0.29577008690026	0.0106	34	1.69772539238498e-08	0.0106	0.01325
na19036	10000	0.0632639720633254	0.00412928836181962	0.0652707730347112	215443	1.16572114295846e-08	193	1823	0.300975558163428	0.0094	34	1.72699428586439e-08	0.0094	0.0121290322580645
na19036	20000	0.0684958376197713	0.00408938707020655	0.0597027091325932	213960	3.75442472799531e-08	193	1823	0.282747502718292	0.0128	34	5.36346389713615e-08	0.0128	0.0155151515151515
na19036	50000	0.0720557288790115	0.00356371987626962	0.0494578284296235	211537	1.93032231584756e-07	193	1823	0.266119019638857	0.0179	34	2.66251353910008e-07	0.0179	0.0204571428571429
na19036	1e+05	0.0337417197306824	0.00135554595964965	0.0401741811167084	209166	1.0801611302277e-06	193	1823	0.275666530053836	0.0151	34	1.4402148403036e-06	0.0151	0.0177647058823529
